,id,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,bedrooms,beds,price,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,bathrooms,puntuacion_media
13868,39620074,0,1,Rosas,San Blas - Canillejas,Private room in house,Private room,1.0,1.0,20.0,365,4,4,0.23,1.5,4.5
13869,39620139,0,1,Rosas,San Blas - Canillejas,Private room in house,Private room,1.0,1.0,20.0,365,3,4,0.17,1.5,3.0
13870,39620241,0,1,Rosas,San Blas - Canillejas,Private room in house,Private room,1.0,1.0,20.0,1,5,4,0.29,1.5,4.0
13871,39624390,0,1,Embajadores,Centro,Entire apartment,Entire home/apt,3.0,3.0,87.0,0,3,4,0.18,1.0,4.5
13872,39624810,0,0,Pueblo Nuevo,Ciudad Lineal,Entire apartment,Entire home/apt,1.0,3.0,95.0,180,22,1,1.25,1.0,4.842105263157895
13873,39625238,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,37.0,0,8,4,0.45,1.0,4.25
13877,39629977,1,0,Rejas,San Blas - Canillejas,Entire condominium,Entire home/apt,1.0,1.0,55.0,0,5,1,0.3,1.0,4.75
13879,39633800,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,29.0,0,11,4,0.62,1.0,4.222222222222222
13880,39634062,0,1,Embajadores,Centro,Private room in apartment,Private room,1.0,1.0,23.0,0,14,4,0.8,1.0,4.333333333333333
13881,39635625,0,0,Delicias,Arganzuela,Shared room in apartment,Shared room,1.0,2.0,16.0,90,2,2,0.12,1.0,4.5
13882,39640495,0,1,Arapiles,Chamberí,Entire apartment,Entire home/apt,1.0,1.0,120.0,87,2,1,0.11,1.0,5.0
13883,39641034,1,0,Pueblo Nuevo,Ciudad Lineal,Private room in house,Private room,1.0,0.0,25.0,363,4,1,0.22,1.0,5.0
13884,39644735,1,0,Pueblo Nuevo,Ciudad Lineal,Entire apartment,Entire home/apt,1.0,1.0,49.0,23,14,1,0.79,1.0,5.0
13885,39648780,1,0,Puerta del Angel,Latina,Private room in apartment,Private room,1.0,1.0,25.0,0,23,3,1.3,1.5,4.944444444444445
13886,39649654,0,1,Imperial,Arganzuela,Private room in apartment,Private room,1.0,1.0,40.0,365,5,1,0.28,1.5,4.5
13887,39651265,0,1,Entrevías,Puente de Vallecas,Entire apartment,Entire home/apt,3.0,7.0,60.0,342,7,5,0.41,1.0,4.8
13889,39657825,1,1,Opañel,Carabanchel,Entire apartment,Entire home/apt,1.0,2.0,48.0,136,3,21,0.19,1.0,4.666666666666667
13890,39658529,0,1,Ambroz,Vicálvaro,Private room in apartment,Private room,1.0,2.0,25.0,88,4,1,0.24,1.0,4.333333333333333
